Area,All Ages,Aged 0 to 17,Aged 18 to 24,Aged 25 to 49,Aged 50 to 64,Aged 65+
Oadby and Wigston,"61,695","13,209","5,728","18,909","11,243","12,606"
Boston,"71,080","15,554","4,470","21,647","14,342","15,067"
East Lindsey,"145,183","23,236","8,084","33,504","34,623","45,736"
Lincoln,"105,114","19,079","18,116","35,314","16,730","15,875"
North Kesteven,"122,468","23,077","7,681","35,567","26,866","29,277"
South Holland,"99,298","19,246","5,793","28,900","21,330","24,029"
South Kesteven,"147,151","29,182","8,283","42,653","31,928","35,105"
West Lindsey,"99,208","18,580","5,657","27,196","22,256","25,519"
Ashfield,"129,572","26,891","8,708","41,187","26,800","25,986"
Bassetlaw,"124,937","24,712","7,590","37,747","26,941","27,947"
Broxtowe,"114,565","21,585","9,947","35,895","22,315","24,823"
Gedling,"120,179","23,850","7,186","38,126","24,911","26,106"
Mansfield,"113,138","23,895","7,077","36,731","22,989","22,446"
Newark and Sherwood,"127,886","24,629","8,247","38,168","27,379","29,463"
Rushcliffe,"126,736","26,010","8,706","38,543","25,606","27,871"
North Northamptonshire,"373,871","83,113","24,137","123,585","74,189","68,847"
West Northamptonshire,"439,811","96,295","33,079","148,708","84,753","76,976"
"Herefordshire, County of","191,047","34,439","11,017","52,095","41,980","51,516"
Shropshire,"332,455","60,153","20,402","89,733","74,371","87,796"
Stoke-on-Trent,"270,425","62,520","23,690","90,482","47,703","46,030"
Telford and Wrekin,"195,952","44,248","15,225","63,180","38,305","34,994"
Cannock Chase,"104,088","20,704","6,926","33,682","21,950","20,826"
East Staffordshire,"129,659","28,162","8,764","41,632","26,107","24,994"
Lichfield,"111,932","21,127","7,100","33,245","23,573","26,887"
Newcastle-under-Lyme,"127,727","23,378","13,671","37,432","25,514","27,732"
South Staffordshire,"114,423","20,292","6,865","32,566","25,133","29,567"
Stafford,"141,556","26,965","8,241","43,080","30,206","33,064"
Staffordshire Moorlands,"96,651","17,024","5,720","25,437","22,311","26,159"
Tamworth,"81,117","17,152","5,438","26,867","15,978","15,682"
North Warwickshire,"67,117","13,078","4,278","20,045","14,735","14,981"
Nuneaton and Bedworth,"141,565","31,099","9,523","47,013","27,089","26,841"
Rugby,"122,378","27,608","7,607","42,219","23,194","21,750"
Stratford-on-Avon,"146,258","27,116","7,881","42,166","31,998","37,097"
Warwick,"154,889","30,491","15,673","50,821","28,465","29,439"
Birmingham,"1,183,618","292,859","144,651","406,165","185,537","154,406"
Coventry,"369,026","83,561","46,998","129,566","57,601","51,300"
Dudley,"331,930","71,124","24,104","104,933","64,694","67,075"
Sandwell,"353,860","88,593","30,827","121,353","61,846","51,241"
Solihull,"221,242","49,229","14,647","66,576","43,765","47,025"
Walsall,"295,678","71,799","23,737","96,412","53,142","50,588"
Wolverhampton,"281,251","68,405","22,860","95,608","49,270","45,108"
Bromsgrove,"101,685","20,893","6,091","29,624","21,415","23,662"
Malvern Hills,"83,227","14,771","4,757","21,042","18,837","23,820"
Redditch,"87,847","18,891","5,860","29,779","16,448","16,869"
Worcester,"106,671","20,796","10,271","35,802","20,390","19,412"
Wychavon,"138,017","25,503","7,955","38,781","30,417","35,361"
Wyre Forest,"103,913","19,265","6,456","29,596","22,169","26,427"
Bedford,"194,976","44,483","13,547","67,233","36,324","33,389"
Central Bedfordshire,"315,877","70,074","19,443","107,977","60,927","57,456"
Luton,"239,090","62,280","22,704","90,530","36,383","27,193"
Peterborough,"223,655","57,621","16,223","80,431","37,212","32,168"
Southend-on-Sea,"185,256","39,611","12,089","61,637","36,110","35,809"
Thurrock,"180,989","46,271","13,631","65,144","31,427","24,516"
Cambridge,"149,352","25,143","28,795","57,372","20,677","17,365"
East Cambridgeshire,"92,906","19,325","5,410","29,480","19,098","19,593"
Fenland,"104,896","20,720","6,393","31,375","21,900","24,508"
Huntingdonshire,"190,619","39,014","11,436","62,382","38,722","39,065"
South Cambridgeshire,"172,544","38,722","9,847","56,078","33,698","34,199"
Basildon,"193,632","45,430","13,380","66,176","35,606","33,040"
Braintree,"164,304","33,781","10,402","52,301","33,589","34,231"
Brentwood,"79,326","16,813","4,707","26,291","15,558","15,957"
Castle Point,"90,581","17,580","5,817","25,523","18,347","23,314"
Chelmsford,"188,803","40,098","13,107","63,327","35,937","36,334"
Colchester,"200,222","43,110","17,350","67,486","36,231","36,045"
Epping Forest,"137,451","28,748","9,408","43,758","27,887","27,650"
Harlow,"98,235","24,478","6,776","36,271","16,603","14,107"
Maldon,"69,131","12,584","4,216","18,785","15,622","17,924"
Rochford,"89,815","18,052","5,906","26,365","18,742","20,750"
Tendring,"156,759","27,958","9,136","40,232","33,253","46,180"
Uttlesford,"95,106","20,565","5,777","27,929","20,506","20,329"
Broxbourne,"101,900","23,012","7,235","34,497","19,455","17,701"
Dacorum,"161,420","36,687","9,988","55,264","30,858","28,623"
East Hertfordshire,"156,875","34,369","9,347","51,087","32,406","29,666"
Hertsmere,"110,212","24,629","7,425","36,403","21,303","20,452"
North Hertfordshire,"137,201","29,084","7,909","45,719","27,036","27,453"
St Albans,"151,012","36,381","8,535","48,981","30,564","26,551"
Stevenage,"91,774","20,891","6,465","33,019","17,020","14,379"
Three Rivers,"95,807","21,229","6,448","31,062","19,324","17,744"
Watford,"107,171","25,297","7,367","42,898","17,763","13,846"
Welwyn Hatfield,"122,819","25,901","12,660","42,607","21,756","19,895"
Breckland,"146,620","27,237","8,804","41,657","31,389","37,533"
Broadland,"138,157","25,083","7,890","39,352","29,875","35,957"
Great Yarmouth,"100,529","19,503","6,572","28,186","21,326","24,942"
King's Lynn and West Norfolk,"156,206","28,915","9,194","43,198","33,417","41,482"
North Norfolk,"103,217","15,458","5,143","23,141","23,395","36,080"
Norwich,"147,182","26,373","22,668","53,412","22,756","21,973"
South Norfolk,"148,448","29,261","8,151","43,225","31,039","36,772"
Babergh,"97,033","17,706","5,675","26,091","21,238","26,323"
Ipswich,"140,274","32,099","10,387","48,695","25,111","23,982"
Mid Suffolk,"110,775","20,012","6,711","31,389","24,315","28,348"
East Suffolk,"249,664","44,152","14,823","63,741","54,599","72,349"
West Suffolk,"188,485","38,286","13,293","61,301","36,067","39,538"
Camden,"216,943","35,276","34,082","85,788","35,485","26,312"
City of London,"15,111",847,"2,363","8,546","1,956","1,399"
Hackney,"266,758","54,191","25,784","125,099","39,084","22,600"
Hammersmith and Fulham,"188,687","31,955","21,663","82,955","31,615","20,499"
Haringey,"263,850","53,648","22,560","109,946","47,945","29,751"
Islington,"223,024","35,624","27,914","103,766","34,090","21,630"
Kensington and Chelsea,"144,518","22,555","14,599","54,979","30,071","22,314"
Lambeth,"316,920","51,454","32,495","150,297","52,660","30,014"
Lewisham,"301,255","62,052","25,401","129,514","53,181","31,107"
Newham,"374,523","84,408","45,443","164,972","51,492","28,208"
Southwark,"314,786","55,626","36,052","142,589","51,837","28,682"
Tower Hamlets,"331,886","63,073","46,385","165,406","37,463","19,559"
Wandsworth,"337,655","58,730","29,146","166,678","49,550","33,551"
Westminster,"209,996","29,834","25,682","89,585","38,367","26,528"
Barking and Dagenham,"232,747","66,465","21,395","89,387","35,488","20,012"
Barnet,"405,050","93,851","31,091","148,602","70,848","60,658"
Bexley,"256,434","58,724","19,455","88,207","47,597","42,451"
Brent,"352,976","75,001","38,415","136,788","59,825","42,947"
Bromley,"335,319","73,457","20,337","115,540","66,001","59,984"
