district_code,district_name,district_type,country,area_km2,centroid_lat,centroid_lon
E07000004,Aylesbury Vale,LAD,England,902.7059118741635,51.89226008230014,-0.8854347271014897
E07000005,Chiltern,LAD,England,196.38439456350287,51.680523157783426,-0.6277792006589725
E07000006,South Bucks,LAD,England,141.2691354708897,51.55638363690394,-0.590052590822674
E07000007,Wycombe,LAD,England,324.6267370817711,51.649252736429766,-0.8152484926109664
E07000008,Cambridge,LAD,England,40.70519690659105,52.199376755931915,0.13292958786349504
E07000009,East Cambridgeshire,LAD,England,651.3370322896814,52.34300139072183,0.2946732408789052
E07000010,Fenland,LAD,England,546.4791668345871,52.56282450970493,0.060794935966701276
E07000011,Huntingdonshire,LAD,England,912.5692248633288,52.373732531654646,-0.2207952488690787
E07000012,South Cambridgeshire,LAD,England,901.6969309804083,52.17280801922022,0.08123384373625753
E07000026,Allerdale,LAD,England,1257.8507669518638,54.703687819085395,-3.2419710290718124
E07000027,Barrow-in-Furness,LAD,England,77.96339221101883,54.13914999455507,-3.2037477403404817
E07000028,Carlisle,LAD,England,1039.2042557231325,54.97130051832888,-2.804151529761145
E07000029,Copeland,LAD,England,737.7004555307471,54.420360027091576,-3.37306762517494
E07000030,Eden,LAD,England,2156.5429868623605,54.61292540263585,-2.6221171724879726
E07000031,South Lakeland,LAD,England,1552.963558037539,54.3124076311017,-2.8313103913917876
E07000032,Amber Valley,LAD,England,265.4074970873716,53.029262347335255,-1.4666052633315791
E07000033,Bolsover,LAD,England,160.35264187906694,53.21569629090862,-1.2772392251141473
E07000034,Chesterfield,LAD,England,66.02766647619305,53.25627118734732,-1.4012008156916433
E07000035,Derbyshire Dales,LAD,England,795.432923421883,53.128468784130774,-1.693639661510325
E07000036,Erewash,LAD,England,109.6419896612574,52.93550705529845,-1.3467383611551509
E07000037,High Peak,LAD,England,540.2264343702676,53.37307343185213,-1.8739026183015937
E07000038,North East Derbyshire,LAD,England,275.6654577923649,53.22592245117327,-1.4483102511624484
E07000039,South Derbyshire,LAD,England,338.0916105663888,52.831044853039224,-1.5595314715575614
E07000040,East Devon,LAD,England,814.5010705988352,50.76548573918589,-3.2226849623129805
E07000041,Exeter,LAD,England,47.045813844084144,50.72230796278684,-3.5108510244616338
E07000042,Mid Devon,LAD,England,912.8258288308001,50.87623449046245,-3.5561669836561136
